,logFC,AveExpr,t,P.Value,adj.P.Val,B,Comparison
Q6IAA8,-0.0483125086872427,-2.17585108091599,-0.601420830243658,0.569495053271197,0.93773588490771,-5.31982117031895,OnlyComparison
O75420,-0.048335391705298,-1.42103455762457,-1.01294275997321,0.350047685817383,0.93773588490771,-5.03574468011629,OnlyComparison
Q8NEC7,-0.0483526177725524,-1.50391670565944,-0.399410437265397,0.703372757198593,0.944162238085093,-5.41325640134674,OnlyComparison
Q4VC05,-0.0483605451598662,-0.0431811022880017,-1.28843411789499,0.24488620166429,0.93773588490771,-4.79288943282877,OnlyComparison
P40424,-0.0484169305286339,-1.01681461489977,-1.08359514576077,0.320016351223545,0.93773588490771,-4.97672857962057,OnlyComparison
Q6P2H3,-0.04848504401735,0.212951581523599,-0.83063040819744,0.43787141650804,0.93773588490771,-5.17530691482418,OnlyComparison
O60547,-0.0485255008773451,-0.0700649677230422,-0.915816086346093,0.3949611587081,0.93773588490771,-5.11253181969868,OnlyComparison
Q96QZ7,-0.0485648228680824,-0.863560640998578,-1.37423874549152,0.218325860383395,0.93773588490771,-4.71121449987153,OnlyComparison
Q9NVQ4,-0.0486162786163311,-1.2041634231902,-0.401184240356863,0.702134387733504,0.944006768792202,-5.41258767556183,OnlyComparison
Q9P2M7,-0.0486905876072807,-0.410513980613217,-0.312649136435917,0.765092584735084,0.961049573279631,-5.44252365752624,OnlyComparison
P41240,-0.048805069873514,0.698012363741861,-0.637804801837203,0.547074460192859,0.93773588490771,-5.29945769610888,OnlyComparison
Q96JE9,-0.0488248617146751,0.835660744280949,-1.55061077350049,0.17180211400632,0.93773588490771,-4.53686241386149,OnlyComparison
Q9UI36,-0.0488606580104103,0.886794531494121,-1.53289913408252,0.176018693320247,0.93773588490771,-4.55469888164612,OnlyComparison
Q9NQ66,-0.0489009248300901,0.0385807933049014,-1.05106249202512,0.333572316964725,0.93773588490771,-5.00421518402177,OnlyComparison
Q9P0L0,-0.0489144008642374,1.00480065734071,-1.0680792691619,0.326424067957596,0.93773588490771,-4.9899026558664,OnlyComparison
P40227,-0.0489302711974617,1.89429782998466,-1.3989061086922,0.211186786884171,0.93773588490771,-4.68731295806727,OnlyComparison
Q9HA77,-0.0489403574367936,-0.0528469147402259,-0.755669805006948,0.478356729675555,0.93773588490771,-5.22667716566904,OnlyComparison
P54619,-0.0489810171432833,0.480072146293236,-0.908839852696798,0.398351170655153,0.93773588490771,-5.11783959135443,OnlyComparison
Q13683,-0.049088362398171,-1.08897629821443,-0.921710041616967,0.392114286392565,0.93773588490771,-5.10802504410889,OnlyComparison
Q9H089,-0.0491223254739235,-0.658206484686093,-0.672180319258892,0.526406747589058,0.93773588490771,-5.27928679189612,OnlyComparison
Q96CW5,-0.0492841409861016,0.058597498967173,-0.572722154450805,0.587565886054853,0.93773588490771,-5.33515047768686,OnlyComparison
Q8N3X1,-0.0494315939410765,-1.35482433966231,-0.853770181665697,0.425888596774041,0.93773588490771,-5.15870237650648,OnlyComparison
Q8NBL1,-0.0494653590352687,-0.133868366643638,-0.663836733330215,0.531376557911498,0.93773588490771,-5.28426452401267,OnlyComparison
P62244,-0.0495521386730617,0.827479623445345,-1.30161123168277,0.240628332741367,0.93773588490771,-4.7805038788475,OnlyComparison
O95140,-0.0495766784043484,0.75609697303119,-1.56984788112395,0.167330395810843,0.93773588490771,-4.51741950016365,OnlyComparison
Q9UJW0,-0.0496034498728234,0.50583985042993,-1.18856648844316,0.279365711887791,0.93773588490771,-4.88468553174657,OnlyComparison
Q8N6T3,-0.0496693944515495,0.42415938541614,-1.55041675825301,0.171847782943459,0.93773588490771,-4.53705813811293,OnlyComparison
Q9HCD6,-0.0496974413763425,0.0531028177226082,-0.54230917821554,0.607077674256245,0.938922239404078,-5.35067441393452,OnlyComparison
Q9BXM9,-0.049835822158279,0.647680934621503,-0.675954144146945,0.524168781137162,0.93773588490771,-5.27701828439155,OnlyComparison
Q9H0N5;P61457,-0.0499382175725991,0.402296678248524,-0.908301756556234,0.398613569971718,0.93773588490771,-5.11824779230127,OnlyComparison
O75935,-0.0499471222259471,-0.627995834131207,-0.661425466235561,0.532818409685159,0.93773588490771,-5.28569335556113,OnlyComparison
Q9NR31,-0.0500210250503352,0.468338814021892,-0.651459872923534,0.538803978380457,0.93773588490771,-5.29155215360332,OnlyComparison
Q9Y6A4,-0.0500574704604428,-0.0424094063121482,-1.44359874174638,0.198792884334099,0.93773588490771,-4.64357597581127,OnlyComparison
A6NJT0,-0.0500730147608401,0.0776958024409399,-1.62311527053878,0.155517352249113,0.93773588490771,-4.46323097942848,OnlyComparison
P54803,-0.0500814781466418,-0.16236724575609,-0.899679045133533,0.40283633255223,0.93773588490771,-5.12476537673989,OnlyComparison
P50148,-0.0500855814898316,0.498786163414141,-1.30457905793261,0.239678472365331,0.93773588490771,-4.77770611411836,OnlyComparison
P11217,-0.0501139203802016,-0.0296009637980454,-0.612336288192851,0.562710642471046,0.93773588490771,-5.31382002950946,OnlyComparison
P41229;Q9BY66,-0.0501210121030422,-0.989361508227561,-0.517948206302181,0.622967718476702,0.942710200629587,-5.3625641422555,OnlyComparison
P06753,-0.0501406447074011,1.62139824794488,-0.428484663394378,0.683202980103151,0.942710200629587,-5.40194586440748,OnlyComparison
Q96E11,-0.05016190283071,0.041710733438166,-1.64425070317718,0.151054396079857,0.93773588490771,-4.44159958504958,OnlyComparison
Q14982,-0.0501818535329024,-1.30715179920316,-1.04525791300019,0.336039677824205,0.93773588490771,-5.00906423683493,OnlyComparison
P61244,-0.0502021797707877,-1.2514446693185,-0.71614644104973,0.500719506716189,0.93773588490771,-5.25220771988683,OnlyComparison
Q9H9A6,-0.050203900165626,0.736429411000556,-1.00522355487551,0.353462345079035,0.93773588490771,-5.04203729002222,OnlyComparison
Q9UBP0,-0.0502154185925543,0.0274546339970767,-1.01379514381611,0.34967225188657,0.93773588490771,-5.03504789495368,OnlyComparison
P07954,-0.0502398075591177,1.04107406511469,-1.42157385210899,0.204814809528813,0.93773588490771,-4.66519717909051,OnlyComparison
Q92503,-0.0502623761513725,-1.23275095218726,-0.58109944967081,0.582256271541307,0.93773588490771,-5.33074345767621,OnlyComparison
P52747,-0.0503203665285978,-0.767501220515728,-0.579673453876788,0.583158077879962,0.93773588490771,-5.33149758803211,OnlyComparison
Q86X76,-0.0503487640767159,-0.425500374388143,-0.869687364156723,0.417787432223467,0.93773588490771,-5.14708364645851,OnlyComparison
Q14CS0,-0.0503814129279103,-1.07181578036304,-0.690031405644795,0.51587524787212,0.93773588490771,-5.2684630777964,OnlyComparison
Q9UJ04,-0.0503993178739914,-0.678582302795253,-0.588429326445609,0.577633861345898,0.93773588490771,-5.32684153797277,OnlyComparison
Q9NZ09,-0.0504075314841934,-1.18272700255673,-0.961921355160364,0.373111446890803,0.93773588490771,-5.07674008203777,OnlyComparison
Q9UPT6,-0.0504808596592896,-0.0751808160772342,-1.15337516401905,0.292476869097376,0.93773588490771,-4.91608583967209,OnlyComparison
P20340,-0.0505377285509199,1.25296613110825,-1.25544961414231,0.25583773536371,0.93773588490771,-4.8236236611312,OnlyComparison
Q9BRA2,-0.0505719686605456,-0.541975588754554,-0.801887939314035,0.453094402888539,0.93773588490771,-5.19544849214556,OnlyComparison
P54756,-0.0505863829617395,-0.265345375194443,-0.909440787999407,0.398058283696385,0.93773588490771,-5.11738351650051,OnlyComparison
P47756,-0.0506237634978963,1.03366842692332,-1.3419961882458,0.227986804401978,0.93773588490771,-4.74218214522806,OnlyComparison
P51148,-0.0506406111905989,-0.584392494687184,-1.02882647020443,0.343104670666622,0.93773588490771,-5.0226979764056,OnlyComparison
Q9Y3B7,-0.0507530794259346,0.347813049965422,-1.62258100364297,0.155631787855331,0.93773588490771,-4.46377687406006,OnlyComparison
Q9Y463;Q13627,-0.0507832478594351,-0.560407750031673,-0.386267807379785,0.712579035817807,0.947161299999126,-5.41812428745114,OnlyComparison
Q9BQE4,-0.0508112320138172,-0.353810041314936,-0.88009134602745,0.412554587512932,0.93773588490771,-5.13940398582601,OnlyComparison
O76031,-0.0508174025804793,0.420428835034157,-1.24519489690987,0.259329107712323,0.93773588490771,-4.83309788294667,OnlyComparison
Q9HCD5,-0.050839688869118,0.908677475819528,-1.14012319879875,0.297547894387061,0.93773588490771,-4.92777216679107,OnlyComparison
Q15904,-0.0508938250405075,0.0112763308480923,-0.727616805909182,0.494157845291308,0.93773588490771,-5.24491232334287,OnlyComparison
Q9HCM9,-0.0509275321872191,-1.02457555070555,-0.2245791049661,0.829733972481672,0.967704160353581,-5.46517269972536,OnlyComparison
Q2KHT3,-0.0509794559104109,-1.06386974980489,-1.73223206237438,0.133766958028763,0.93773588490771,-4.35088517017497,OnlyComparison
Q9UJU6,-0.0509856405131107,0.941966052069661,-1.11394075384027,0.30778498260843,0.93773588490771,-4.95063093311717,OnlyComparison
Q8NCM8,-0.0510075866486774,-1.39703340701593,-0.885382263583451,0.409912338319205,0.93773588490771,-5.13547293849328,OnlyComparison
O14920,-0.0510462214832875,-0.897798958414155,-1.10280314179911,0.312228223272491,0.93773588490771,-4.96025966834116,OnlyComparison
Q9BYD1,-0.0510501258506392,-0.0192288533204014,-1.24648612894471,0.258887205904798,0.93773588490771,-4.83190708998306,OnlyComparison
O43172,-0.0510508364638533,0.391776461685815,-1.23940976865152,0.261317070480049,0.93773588490771,-4.83842529535023,OnlyComparison
Q969G6,-0.0510601016972804,-0.205339614036591,-0.897508797181109,0.403904482932794,0.93773588490771,-5.12639875150576,OnlyComparison
Q8TE04,-0.0511015706410094,-1.35495240294556,-0.897750336037938,0.403785496665395,0.93773588490771,-5.12621710466623,OnlyComparison
Q96G01,-0.0511310616167125,-0.393162258876891,-1.3392290043705,0.228833630031767,0.93773588490771,-4.74482487459588,OnlyComparison
Q4G0F5,-0.0511586484242419,1.00597260058033,-0.435616918916085,0.678297674850318,0.942710200629587,-5.39905817394622,OnlyComparison
P20338,-0.0512033261509565,-0.0297933542123618,-1.25774389295414,0.255062276897542,0.93773588490771,-4.82149865701263,OnlyComparison
O15382,-0.0512654953689725,0.468441989815127,-0.993399698537515,0.358744252068193,0.93773588490771,-5.05161436265935,OnlyComparison
P53680,-0.051317964149131,0.570414377024813,-1.37666437673234,0.217614255043401,0.93773588490771,-4.70887204312755,OnlyComparison
P49590,-0.0513261433689162,0.272209537849893,-1.33871807071963,0.228990296861315,0.93773588490771,-4.74531256300564,OnlyComparison
Q06830,-0.0513740585526667,2.25785004644121,-1.74444698625527,0.131524088602495,0.93773588490771,-4.33821733434073,OnlyComparison
P35080,-0.0514201740049069,0.194643526581962,-1.15669200201041,0.291219160034778,0.93773588490771,-4.91314885796673,OnlyComparison
P43243,-0.0514413519959285,2.09914135959409,-0.836931942327886,0.434584063301804,0.93773588490771,-5.17081907763041,OnlyComparison
Q9Y305,-0.0515399716953727,-0.706510771600704,-0.905480004720706,0.39999173410966,0.93773588490771,-5.12038555025159,OnlyComparison
Q969R2,-0.0516304603469604,-0.845040297080414,-0.663211219663193,0.531750352249697,0.93773588490771,-5.28463560074152,OnlyComparison
P29992;O95837,-0.0516530598660687,0.977625063271973,-1.73839163425446,0.13263133343134,0.93773588490771,-4.3444991780488,OnlyComparison
P39687,-0.0517008661186027,1.16384488057066,-1.55130282206931,0.171639307033606,0.93773588490771,-4.5361642086723,OnlyComparison
O95757,-0.0517291457610075,0.0385600168234594,-1.27716539668769,0.248580218317236,0.93773588490771,-4.8034332078632,OnlyComparison
Q13685,-0.0517714955102477,0.282476758182653,-0.606874394734787,0.566099263114467,0.93773588490771,-5.31683455321623,OnlyComparison
O00233,-0.0518270200422973,0.287508140936263,-1.36051428386075,0.222392039174619,0.93773588490771,-4.72443518499471,OnlyComparison
P07311,-0.0518904143928636,1.2079110697561,-1.14990801095071,0.293796497500836,0.93773588490771,-4.91915080745652,OnlyComparison
Q05823,-0.0519144273245553,-2.10421475488088,-0.497468371871874,0.636500850631895,0.942710200629587,-5.37217860112701,OnlyComparison
P78332,-0.0520474532454404,-0.126289049997789,-0.691799083690885,0.514839938604147,0.93773588490771,-5.26737847665535,OnlyComparison
Q92576,-0.0520874731814012,-1.08400022764663,-0.747363411930317,0.482998757125369,0.93773588490771,-5.23213412009859,OnlyComparison
Q8WVC0,-0.0520943048532877,0.0755376942342921,-1.72187829590786,0.135697226133063,0.93773588490771,-4.36161021816039,OnlyComparison
Q96SB8,-0.0521104679026299,-0.102068299329881,-1.42708915765478,0.203291311106709,0.93773588490771,-4.65979498306467,OnlyComparison
Q155Q3,-0.0521131746315824,-0.571408804214772,-0.77582858132656,0.467219755277352,0.93773588490771,-5.21323509093549,OnlyComparison
Q8TCG5,-0.0521195579037298,0.0407050736724189,-0.912943396576851,0.396354428820407,0.93773588490771,-5.11472096494628,OnlyComparison
O95870,-0.0521327582774248,0.877196275481894,-1.2385426687432,0.261616178627064,0.93773588490771,-4.83922269868665,OnlyComparison
P20073,-0.0521723781580292,1.13963905666535,-1.09630674762542,0.314844471170647,0.93773588490771,-4.96584921836496,OnlyComparison
O75165,-0.0522805925733326,0.144842002327369,-0.685037167625892,0.518807692466882,0.93773588490771,-5.27151499221377,OnlyComparison
Q86VP6,-0.0522883105231968,1.90670597670033,-1.07498222237951,0.323560380168142,0.93773588490771,-4.98405600135597,OnlyComparison
Q8IZ52,-0.0523129491855412,-1.16591122075063,-0.756371730993128,0.47796587460894,0.93773588490771,-5.2262138282641,OnlyComparison
Q7Z7E8,-0.0524097551312397,-0.672372417418603,-0.673363113128596,0.525704659095566,0.93773588490771,-5.27857693616581,OnlyComparison
P24752,-0.0524259671418217,1.07787007277396,-1.2360799349567,0.262467333785023,0.93773588490771,-4.84148591998005,OnlyComparison
Q2TAK8,-0.0524672537462006,-0.999707974992708,-0.81654059513769,0.445287006981826,0.93773588490771,-5.1852482328461,OnlyComparison
Q8WUD1,-0.0524702373725559,0.520949144542859,-1.46446716832899,0.193238138829931,0.93773588490771,-4.62297504747212,OnlyComparison
Q9C0E2,-0.0524926879235134,-0.24420819930264,-0.846643854288001,0.429552969751186,0.93773588490771,-5.16385249238586,OnlyComparison
O14832,-0.0525577130249507,-0.937278745431084,-1.13298828549004,0.300308774433816,0.93773588490771,-4.93403197818771,OnlyComparison
P42858,-0.052603797094693,0.570555030273335,-1.19507644558028,0.276996288490473,0.93773588490771,-4.8788200903984,OnlyComparison
Q13190,-0.0526046399065604,0.255358578001813,-1.43836181251529,0.200209789424728,0.93773588490771,-4.64872843167199,OnlyComparison
Q96S59,-0.0526332644728152,-0.803883926916364,-1.07892082120183,0.321935738749001,0.93773588490771,-4.98070969857198,OnlyComparison
Q8TCT0,-0.0527139671972154,-1.59203732393304,-1.4124973606616,0.207344822762357,0.93773588490771,-4.67406964646154,OnlyComparison
P26368,-0.0528107679884554,1.01994809757377,-1.63423655080084,0.153153466689184,0.93773588490771,-4.45185736803819,OnlyComparison
Q8WYP3,-0.0528154195769239,-1.93086154812141,-0.631192601535899,0.551107731101053,0.93773588490771,-5.30323459125782,OnlyComparison
Q9P244,-0.0528298577755693,-1.40138949047377,-0.831056900824148,0.43764835631806,0.93773588490771,-5.17500398338722,OnlyComparison
Q9Y237,-0.0528301836853149,0.206135819587445,-1.47374657079892,0.1908145903481,0.93773588490771,-4.61378003173542,OnlyComparison
O95861,-0.0528375630304729,0.280737579690563,-0.769538237091591,0.470675322695394,0.93773588490771,-5.21745954612579,OnlyComparison
Q8WUD4,-0.0530342389923392,0.00336200861230446,-0.77730071111875,0.466413622432235,0.93773588490771,-5.21224253874561,OnlyComparison
Q969V6,-0.0530376304746152,-0.368912846963601,-0.948529343448479,0.379358971901931,0.93773588490771,-5.08726211592957,OnlyComparison
Q15031,-0.0530459491897238,0.584700993342945,-0.972973211653715,0.368016508981294,0.93773588490771,-5.06798085333381,OnlyComparison
Q9UHW9,-0.0530470642147698,0.357553157417129,-0.90546351314575,0.399999799350505,0.93773588490771,-5.12039803027531,OnlyComparison
O14727,-0.0530659242865774,-0.691815492398306,-0.95841850262155,0.374737753244051,0.93773588490771,-5.07950203565184,OnlyComparison
Q9P1Y5,-0.0531238607273322,0.325736426028768,-0.92546874345185,0.390307005738558,0.93773588490771,-5.10514030964385,OnlyComparison
Q8N5C8,-0.053177715379488,-1.02592480060407,-1.39475582641739,0.212372870097357,0.93773588490771,-4.69134665879939,OnlyComparison
Q5SQI0,-0.0533710675063221,0.900893174016831,-0.850322617722978,0.427658455379904,0.93773588490771,-5.16119791436247,OnlyComparison
P14324,-0.0533924382750662,0.608619781634798,-1.33272345606292,0.230835622054455,0.93773588490771,-4.75102822079077,OnlyComparison
Q13362,-0.0534083325562689,-0.484819571010854,-1.07130079853525,0.325085036013384,0.93773588490771,-4.98717698565486,OnlyComparison
Q9BUT1,-0.0534929695610949,0.323710767395308,-0.650927722511582,0.539124797448307,0.93773588490771,-5.29186289493715,OnlyComparison
P62854,-0.053536596246047,-0.713659242481882,-0.402052142383657,0.701528831696314,0.943565998357934,-5.41225946166959,OnlyComparison
P26006,-0.0535375872264633,-0.483256911126388,-1.26932094041571,0.251180685654655,0.93773588490771,-4.81074637084032,OnlyComparison
Q9BTV5,-0.0536160345007568,0.535606254175458,-0.908070118683536,0.398726567280191,0.93773588490771,-5.11842346015414,OnlyComparison
P55287,-0.0537579444415929,-0.00418956114613126,-1.38356571397623,0.215601112572732,0.93773588490771,-4.70219786648919,OnlyComparison
O75093,-0.0538027241034293,-0.39795772669003,-1.32637042946861,0.232805820342597,0.93773588490771,-4.75707298216144,OnlyComparison
Q92953,-0.0538037366898487,-0.783863359180969,-0.55441919268468,0.599264450970808,0.93773588490771,-5.34458283489816,OnlyComparison
P34947,-0.053831027095836,0.469578547888056,-0.573340164925615,0.587173217056935,0.93773588490771,-5.33482728148714,OnlyComparison
O43292,-0.0539050189303778,0.260046955814779,-1.4528357055163,0.196316244761151,0.93773588490771,-4.63447089829312,OnlyComparison
Q99259,-0.0539301198276196,-1.11446841699151,-1.24709208927285,0.258680053623144,0.93773588490771,-4.83134804877067,OnlyComparison
Q9Y394,-0.0539833029551006,0.568046250650381,-1.45231940772042,0.196453920870104,0.93773588490771,-4.63498039456779,OnlyComparison
O43402,-0.0540179958235015,-0.0699791526298902,-1.02796103507535,0.343480085327674,0.93773588490771,-5.02341221679337,OnlyComparison
Q8NDV3,-0.0540335391783804,0.511790270602209,-1.42008859315523,0.205226870417593,0.93773588490771,-4.66665058175309,OnlyComparison
Q9Y312,-0.0540694475331236,-0.626857073928751,-1.04694707765692,0.335320134749466,0.93773588490771,-5.00765488784173,OnlyComparison
Q08722,-0.054088276226078,0.663540833536837,-1.24766327503937,0.258484922073492,0.93773588490771,-4.83082096351874,OnlyComparison
Q9Y4K4,-0.0541225847612138,0.606622540362745,-1.44025926731204,0.199695342257947,0.93773588490771,-4.64686240188592,OnlyComparison
Q8N3J6,-0.0541472958033359,0.105522006725538,-1.64545072659367,0.150804718533687,0.93773588490771,-4.44036934755548,OnlyComparison
Q96PK6,-0.0542348787431215,1.21053200129134,-1.03840080885826,0.338973533602346,0.93773588490771,-5.01477058588119,OnlyComparison
Q96DZ1,-0.0545685750607911,0.0120460651818769,-0.58799748678982,0.577905583996321,0.93773588490771,-5.32707260332282,OnlyComparison
P13073,-0.0545741346298216,0.974486805233431,-0.747134080489769,0.483127357022676,0.93773588490771,-5.23228409797028,OnlyComparison
O75937,-0.0545800528777636,1.16530731967042,-1.15265636686218,0.292750035848984,0.93773588490771,-4.91672168769784,OnlyComparison
Q5T7V8,-0.054677974085249,-1.32683741706914,-0.876626764614288,0.414291680217511,0.93773588490771,-5.14196878157603,OnlyComparison
Q9HCK8,-0.0547321232764556,0.125689828905035,-0.556717562106061,0.597788097839743,0.93773588490771,-5.343413241046,OnlyComparison
Q99707,-0.0548750243920847,0.197725343858602,-0.498397305501555,0.63588361527158,0.942710200629587,-5.37175010608768,OnlyComparison
Q9P291,-0.0549727809404897,0.237848898011911,-0.623267026202871,0.555966433694177,0.93773588490771,-5.30771734820019,OnlyComparison
Q04828;P42330;P52895;P17516,-0.0549839404043648,0.560042394439885,-1.13371701292378,0.300025804677627,0.93773588490771,-4.93339367163468,OnlyComparison
O43427,-0.0550434851837201,0.257558088873047,-1.71125623842915,0.137705652592611,0.93773588490771,-4.37260057899966,OnlyComparison
P09417,-0.055053976102526,0.711642106809272,-1.23319385687968,0.263467874099046,0.93773588490771,-4.84413524153897,OnlyComparison
Q92888,-0.0550718377153725,-0.218411169451216,-0.823452741671321,0.441637815653577,0.93773588490771,-5.18038740877054,OnlyComparison
Q14669,-0.0550777080407049,-0.156937211071059,-1.14339082700178,0.296290641907418,0.93773588490771,-4.92489776420823,OnlyComparison
P07205,-0.0550822918944799,-0.642422666467301,-0.971609761988458,0.368642091325908,0.93773588490771,-5.0690651400861,OnlyComparison
O60942,-0.0550941009636785,-0.792456837097121,-0.765537371836726,0.472882442025718,0.93773588490771,-5.22013232601353,OnlyComparison
Q86VM9,-0.0553100654058488,0.30537694515705,-0.87391633516196,0.41565446122331,0.93773588490771,-5.14397012282385,OnlyComparison
Q96J01,-0.0553202936937524,0.0802465406520048,-1.67631743249278,0.144517284931617,0.93773588490771,-4.40865392286848,OnlyComparison
Q96TA2,-0.0554062879645757,-0.0659026210228814,-1.3375856803802,0.229337863411461,0.93773588490771,-4.74639313827019,OnlyComparison
P21283,-0.0554243934523573,1.05356336302524,-1.48724964167912,0.18733829784924,0.93773588490771,-4.60036300936608,OnlyComparison
Q8IVL0,-0.0554418761446795,-0.6120231986577,-1.03685805958391,0.339636463943395,0.93773588490771,-5.01605113295799,OnlyComparison
Q9UJ70,-0.0554706538055453,0.682386818764867,-1.58517414245473,0.16384685061181,0.93773588490771,-4.50187936238272,OnlyComparison
Q86UL8,-0.055501823715855,0.0926057393043285,-0.991873858726321,0.359430419854458,0.93773588490771,-5.05284478272073,OnlyComparison
O14925,-0.0556616403579183,0.206005267241422,-0.970799924905839,0.36901405907461,0.93773588490771,-5.06970867714691,OnlyComparison
Q9HBM0,-0.055686975961439,-0.281940530680078,-0.978590418232204,0.365448014928791,0.93773588490771,-5.06350291936306,OnlyComparison
Q8NEB9,-0.0557119868649769,-1.15136120051527,-0.812185889955587,0.447597161785715,0.93773588490771,-5.18829450741713,OnlyComparison
O15015,-0.0558608258295377,-1.91601414166985,-1.19155598038525,0.278275475310001,0.93773588490771,-4.88199417122247,OnlyComparison
