kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
QIK	CAMK	6	94	1	15	232	5426	1.492846661775495	0.5780659861978126	0.21845288813235716	0.4036050311225867	0.6606422091752677	0.39404342872066056	1.5591954022988503	0.6408017415457752	0.48178723483479435	1.000000000015329	0.31714471100901626	6.657331098046247e-12	downregulated set	0.6413564319941025	-0.6408017415457752	0.48178723483479435	1.000000000015329	0.31714471100901626	6.657331098046247e-12
MELK	CAMK	3	94	0	15	120	5426	1.4430851063829786	0.5291563857168663	0.34934365511867294	0.5119598576060637	0.4567471401210222	0.2907640903984616	1.5072222222222222	0.5918921410648291	0.9999999999437678	1.000000000015329	2.442135200928199e-11	6.657331098046247e-12	downregulated set	0.6634721710283819	-0.5918921410648291	0.9999999999437678	1.000000000015329	2.442135200928199e-11	6.657331098046247e-12
MAPKAPK3	CAMK	10	94	0	15	181	5426	3.1891383566474665	1.6731666884083858	0.0014018193084718784	0.011667733563316301	2.853307962397103	1.9330134967000014	0.9992633517495395	-0.0010631504098579027	0.6016118146160948	1.000000000015329	0.22068364353976316	6.657331098046247e-12	upregulated set	3.1891383566474665	1.6731666884083858	0.0014018193084718784	0.011667733563316301	2.853307962397103	1.9330134967000014
MAK	CMGC	5	94	0	15	201	5426	1.435905578490526	0.5219608843126623	0.2733689589441847	0.4576286992270054	0.5632508011237407	0.3394867474906202	0.8998341625207296	-0.15226895450558123	0.5681543663556009	1.000000000015329	0.24553365135195998	6.657331098046247e-12	upregulated set	1.435905578490526	0.5219608843126623	0.2733689589441847	0.4576286992270054	0.5632508011237407	0.3394867474906202
MAPKAPK2	CAMK	20	94	0	15	286	5426	4.036601696176164	2.0131412387132017	1.2912135157978337e-7	0.000004890471191084295	6.889001936613876	5.310649295103515	0.6324009324009323	-0.6610886001050421	0.44440949278977027	1.000000000015329	0.3522166729035738	6.657331098046247e-12	upregulated set	4.036601696176164	2.0131412387132017	1.2912135157978337e-7	0.000004890471191084295	6.889001936613876	5.310649295103515
MAPKAPK5	CAMK	7	94	0	15	205	5426	1.971043072132849	0.9789593031563867	0.06853005577431316	0.21250684831829758	1.1641189147247535	0.6726270696657973	0.8822764227642277	-0.18069736283209842	0.561674815854493	1.000000000015329	0.25051504840554434	6.657331098046247e-12	upregulated set	1.971043072132849	0.9789593031563867	0.06853005577431316	0.21250684831829758	1.1641189147247535	0.6726270696657973
TNIK	STE	0	94	0	15	100	5426	0.2886170212765958	-1.7927717091704958	0.17670199374319606	0.36176151421748926	0.7527585502850667	0.441577637177719	1.8086666666666666	0.8549265468986229	0.9999999999790472	1.000000000015329	9.099683272732115e-12	6.657331098046247e-12	downregulated set	0.5528934758569849	-0.8549265468986229	0.9999999999790472	1.000000000015329	9.099683272732115e-12	6.657331098046247e-12
RAF1	TKL	3	94	0	15	196	5426	0.8835214937038645	-0.1786628627898234	0.558585941742029	0.6088184904598375	0.2529099986398306	0.2155121660556018	0.9227891156462584	-0.11592710744186074	0.5763519184962391	1.000000000015329	0.2393122568704525	6.657331098046247e-12	downregulated set	1.0836712126796906	0.11592710744186074	0.5763519184962391	1.000000000015329	0.2393122568704525	6.657331098046247e-12
TSSK1	CAMK	5	94	0	15	266	5426	1.0850263957766757	0.11773013999040145	0.49337696509208073	0.57719390124672	0.3068211308230358	0.23867826640198256	0.6799498746867167	-0.5564996988278421	0.47102379386155463	1.000000000015329	0.3269571538439882	6.657331098046247e-12	upregulated set	1.0850263957766757	0.11773013999040145	0.49337696509208073	0.57719390124672	0.3068211308230358	0.23867826640198256
TSSK2	CAMK	5	94	1	15	328	5426	0.8799299429164504	-0.18453942912649263	0.49549203993926183	0.5774388003907551	0.304963318046965	0.238494037515478	1.1028455284552845	0.14123073205526382	0.6081305465533313	1.000000000015329	0.2160031813162138	6.657331098046247e-12	downregulated set	0.9067453004054553	-0.14123073205526382	0.6081305465533313	1.000000000015329	0.2160031813162138	6.657331098046247e-12
P70S6K	AGC	18	94	0	15	124	5426	8.37920384351407	3.066813171659666	1.4100008037566083e-11	8.544604870765046e-10	10.8507806397794	9.068308015613114	1.4586021505376345	0.5445864262864725	0.9999999999626529	1.000000000015329	1.6219650473115876e-11	6.657331098046247e-12	upregulated set	8.37920384351407	3.066813171659666	1.4100008037566083e-11	8.544604870765046e-10	10.8507806397794	9.068308015613114
CDKL1	CMGC	2	94	0	15	158	5426	0.730676003231888	-0.45269626757287423	0.48353635867755357	0.5768169948003887	0.3155708643330972	0.23896195245073026	1.1447257383966245	0.1950019884962447	0.9999999999738444	1.000000000015329	1.1359247176039672e-11	6.657331098046247e-12	downregulated set	0.873571691854036	-0.1950019884962447	0.9999999999738444	1.000000000015329	1.1359247176039672e-11	6.657331098046247e-12
BRSK1	CAMK	11	94	1	15	294	5426	2.159719206831669	1.110843754405162	0.013915157661670832	0.0731054074313691	1.856511868653995	1.136050498134488	1.2303854875283446	0.2991103918369832	0.5671030650450778	1.000000000015329	0.24633800545854928	6.657331098046247e-12	upregulated set	2.159719206831669	1.110843754405162	0.013915157661670832	0.0731054074313691	1.856511868653995	1.136050498134488
BRSK2	CAMK	4	94	1	15	255	5426	0.9054651647893199	-0.14326895625462926	0.5466808876496646	0.6001605397023492	0.26226610908517395	0.22173256264808666	1.418562091503268	0.5044292998144897	0.515118101266031	1.000000000015329	0.28809318872973305	6.657331098046247e-12	downregulated set	0.7049391817176558	-0.5044292998144897	0.515118101266031	1.000000000015329	0.28809318872973305	6.657331098046247e-12
PRP4	CMGC	10	94	1	15	556	5426	1.0381907240165313	0.0540715027680835	0.501173174523244	0.5781587072508507	0.30001218282615866	0.23795292936112036	0.6505995203836931	-0.6201583360501598	0.536244739621774	1.000000000015329	0.2706369550672503	6.657331098046247e-12	upregulated set	1.0381907240165313	0.0540715027680835	0.501173174523244	0.5781587072508507	0.30001218282615866	0.23795292936112036
CK1A2	CK1	6	94	1	15	169	5426	2.04935163036636	1.0351675450432005	0.07695166393461361	0.22206051592559928	1.1137819849318131	0.6535286554994462	2.1404339250493094	1.0979033003911631	0.37921164347252073	1.000000000015329	0.4211183363702749	6.657331098046247e-12	downregulated set	0.4671949870991523	-1.0979033003911631	0.37921164347252073	1.000000000015329	0.4211183363702749	6.657331098046247e-12
MSK1	AGC	12	94	0	15	108	5426	6.413711583924349	2.6811594791619164	6.79883708630991e-7	0.000018727705792290025	6.167565365262764	4.7275154219186835	1.6746913580246914	0.743895234509879	0.9999999999731561	1.000000000015329	1.1658140474305784e-11	6.657331098046247e-12	upregulated set	6.413711583924349	2.6811594791619164	6.79883708630991e-7	0.000018727705792290025	6.167565365262764	4.7275154219186835
