kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
NEK11	Other	2	52	0	11	98	5472	2.1475667189952907	1.1027029526295977	0.242330483353337	0.5767187058158775	0.6155919514446585	0.239035962060811	2.5380333951762526	1.3437110521333926	1.0000000000026081	1.0000000000301261	1.132699042212014e-12	1.30836093350113e-11	downregulated set	0.39400584795321636	-1.3437110521333926	1.0000000000026081	1.0000000000301261	1.132699042212014e-12	1.30836093350113e-11
MLK1	TKL	1	52	0	11	124	5472	0.84863523573201	-0.2367835136420693	0.6700804173924639	0.7199800229429666	0.17387307381556052	0.14267955363261658	2.005865102639296	1.0042245858617254	1.000000000016024	1.0000000000301261	6.959165595072694e-12	1.30836093350113e-11	downregulated set	0.49853801169590645	-1.0042245858617254	1.000000000016024	1.0000000000301261	6.959165595072694e-12	1.30836093350113e-11
MLK2	TKL	2	52	0	11	148	5472	1.4220374220374221	0.507959431115856	0.41489210700542134	0.6390359720381168	0.3820648272018715	0.1944746942391804	1.6805896805896807	0.748967530619651	1.0000000000111477	1.0000000000301261	4.841406045803793e-12	1.30836093350113e-11	downregulated set	0.5950292397660818	-0.748967530619651	1.0000000000111477	1.0000000000301261	4.841406045803793e-12	1.30836093350113e-11
MLK3	TKL	1	52	0	11	142	5472	0.7410617551462623	-0.4323343227598762	0.6084492775151015	0.6865346309495158	0.21577562024979294	0.1633375507055387	1.7516005121638927	0.8086737767439187	1.0000000000003346	1.0000000000301261	1.4532414920955605e-13	1.30836093350113e-11	downregulated set	0.5709064327485379	-0.8086737767439187	1.0000000000003346	1.0000000000301261	1.4532414920955605e-13	1.30836093350113e-11
YANK2	AGC	6	52	0	11	200	5472	3.156923076923077	1.6585191076912373	0.012177800645605433	0.16041714375497362	1.9144311397594203	0.7947492205884914	1.2436363636363637	0.31456470647387597	0.9999999999813401	1.0000000000301261	8.10387051437614e-12	1.30836093350113e-11	upregulated set	3.156923076923077	1.6585191076912373	0.012177800645605433	0.16041714375497362	1.9144311397594203	0.7947492205884914
YANK3	AGC	2	52	0	11	162	5472	1.2991452991452992	0.37756279386018105	0.4602440391197692	0.6456201104318984	0.33701182758039705	0.19002295022902296	1.5353535353535355	0.6185708933639761	0.9999999999865967	1.0000000000301261	5.820969886394617e-12	1.30836093350113e-11	downregulated set	0.6513157894736842	-0.6185708933639761	0.9999999999865967	1.0000000000301261	5.820969886394617e-12	1.30836093350113e-11
MLK4	TKL	1	52	0	11	129	5472	0.815742397137746	-0.2938144586784484	0.6527661032026577	0.703872346158026	0.185242405685344	0.15250609708811888	1.9281183932346724	0.9471936408253466	1.0000000000108626	1.0000000000301261	4.7175863990997135e-12	1.30836093350113e-11	downregulated set	0.518640350877193	-0.9471936408253466	1.0000000000108626	1.0000000000301261	4.7175863990997135e-12	1.30836093350113e-11
MYLK4	CAMK	2	52	0	11	82	5472	2.5666041275797378	1.3598607921267223	0.18690707688509212	0.5720489322846759	0.7283742545657448	0.24256682066098964	3.0332594235033263	1.6008688916305172	0.9999999999941728	1.0000000000301261	2.5307327868564927e-12	1.30836093350113e-11	downregulated set	0.32967836257309935	-1.6008688916305172	0.9999999999941728	1.0000000000301261	2.5307327868564927e-12	1.30836093350113e-11
DCAMKL1	CAMK	2	52	0	11	95	5472	2.2153846153846155	1.147557188413858	0.23183721325707665	0.5767187058158775	0.6348168521728831	0.239035962060811	2.618181818181818	1.3885652879176527	1.0000000000167022	1.0000000000301261	7.253671203353249e-12	1.30836093350113e-11	downregulated set	0.3819444444444444	-1.3885652879176527	1.0000000000167022	1.0000000000301261	7.253671203353249e-12	1.30836093350113e-11
CHAK2	Alpha	3	52	0	11	244	5472	1.2938209331651955	0.3716379599030757	0.4129181032910801	0.6390359720381168	0.3841360762266053	0.1944746942391804	1.0193740685543966	0.027683558685714583	1.0000000000001819	1.0000000000301261	7.897841951070703e-14	1.30836093350113e-11	upregulated set	1.2938209331651955	0.3716379599030757	0.4129181032910801	0.6390359720381168	0.3841360762266053	0.1944746942391804
