pathway	pval	padj	log2err	ES	NES	size	leadingEdge	timepoint	confidence_levels
MYC_1	0.08600770218228498	0.19634751773049644	0.17093233537005617	0.5666673204223455	1.7429274896959022	335	EGR3;JUN;RGS2;PER1;ODC1;EIF5A2;AMD1;KIAA1586;MNT;NXT1;SIRT1;PPAT;ZNF451;SPAST;ALG5;TFRC;NPM1;BCL2L12;ETS2;MSH2;EIF4A1;HSPE1;CD63;NRAS;SMN1;CBX3;SNRPB;LBR;BBC3;NAP1L1;GOLPH3;ARF4;LDHB;FXR1;ID2;ZNF271P;TOMM20;CXCR4;DCK;NCL;HMGN2;CDK6;PTEN;PSMG1;SMARCAD1;CKS2;EIF4E;PEX3;DDX18;ATF4;WRN;RPS16;CCND2;CRIPT;SLBP;DDX5;PRDX3;SNRPB2;NUP155;SRD5A1;LDHA;DPY30;AIMP2;ACE;HSPD1;AQR;HINT1;E2F1;RPL27;NFIL3	1	A
TFAP2A_1	0.08687943262411348	0.19634751773049644	0.20207170902115992	0.5707534291941689	1.566633306818656	51	SPRY2;CDKN1A;MYC;FMR1;EGFR;TAF7;NR3C1;CGA;OAT;ADRA1A;SP1	1	A
E2F4_1	0.09469153515064563	0.20577198984659528	0.1723243449009459	0.5807675777312027	1.735151424789852	214	KLF10;JUN;INSIG1;WEE1;GABPA;NPAT;NXT1;TMPO;CHEK1;TFRC;MYC;GADD45A;REL;BACH1;MAPRE1;MAP3K7;KLHL21;ZNF267;MSH2;MCM6;SMARCA5;CDC37L1;TFAM;LIN54;H2BC21;SLC2A13;SUZ12;YWHAH;NCL;HMGN2;RFC3;CKS2;DERL2;RIPK2;SP1;HNRNPD;TSNAX;RB1;HMGB3;BARD1;PARK7;CREG1;HMGB1;RPL23A;ITGB3BP;ASF1B;XRCC2;GINS1;STAM;PKN2;SRSF8	1	A
STAT1_-1	0.09288537549407115	0.20577198984659528	0.20658792269689108	0.6869822114813284	1.4776998773496999	10	ZNF367;NAA35;RPS24;HSP90AA1;FGFR3;CDC7	1	A
E2F3_1	0.09746588693957114	0.20780462687116114	0.19991523130966152	0.6418246894975185	1.454057717364039	13	CDKN1A;MCM6;E2F1	1	A
HNF4A_1	0.1	0.20925925925925926	0.1882041463084906	0.559208235206773	1.528067278996949	53	LDLR;CDKN1A;MYC;ACOT13;ADAMTS1;DSC2	1	A
AR_1	0.10284810126582279	0.21130609896432684	0.1737478389995708	0.5421697314176789	1.5787834669354333	117	JUN;CDKN1A;CYCS;ABCE1;NPAT;LIFR;ZNF559;MYC;EGFR;SDF2;HK2;PMEPA1;STK39;VAPA;H2BC21;IGHG1;DDC;NKX3-1	1	A
PPARG_1	0.10674157303370786	0.2153892455858748	0.18643255843407516	0.5639553749084266	1.4293148398381792	26	CDKN1A;PTEN;CD36;CD83;SAT1;ATP2A2;GK;BCL2;DBI	1	A
LEF1_1	0.11500974658869395	0.2269635998449558	0.18302393838448722	0.625315378058264	1.4166557724101791	13	MYC;CTNNB1;AR;SNAI2	1	A
MYB_1	0.1167608286252354	0.2269635998449558	0.17821987495197314	0.5901105822172634	1.4031520097540697	17	SP3;MYC;NMU;NR3C1	1	A
PPARG_-1	0.11850311850311851	0.2269635998449558	0.18643255843407516	0.7258400625301492	1.4237942374752361	7	MYC;EGFR;APOB	1	A
E2F1_-1	0.12667946257197696	0.2339327648003955	0.1723243449009459	0.6367954316055244	1.4062851645299073	11	SP3;HSPA5;PNRC2;AR;MDM2;VEGFA;TERT	1	A
